date,rainfall,dept,temperature,volume,hydrometry
2009-02-15,0.0,-29.97,1.7,-25472.448,2.6
2009-02-16,0.0,-29.94,0.2,-27247.968,2.5
2009-02-17,0.0,-29.77,1.2,-23438.592,2.5
2009-02-18,0.8,-29.79,1.6,-24115.968,2.5
2009-02-19,0.0,-29.75,1.1,-25417.152,2.5
2009-02-20,0.0,-29.77,3.1,-25172.64,2.4
2009-02-21,0.0,-29.79,3.9,-27870.912,2.4
2009-02-22,0.0,-29.64,3.4,-24046.848,2.4
2009-02-23,0.0,-29.58,4.9,-25412.832,2.4
2009-02-24,0.0,-29.56,6.6,-24579.936,2.4
2009-02-25,0.0,-29.56,5.0,-23942.304,2.4
2009-02-26,0.0,-29.52,4.9,-26788.32,2.4
2009-02-27,0.0,-29.53,8.4,-29515.968,2.4
2009-02-28,0.0,-29.56,7.5,-30233.952,2.3
2009-03-01,0.0,-29.42,7.2,-26669.088,2.4
2009-03-02,0.0,-29.42,8.9,-27629.856,2.4
2009-03-03,3.4,-29.42,10.1,-29295.648,2.4
2009-03-04,6.5,-29.21,10.0,-26548.128,2.5
2009-03-05,9.0,-29.22,7.3,-28717.632,2.3
2009-03-06,0.0,-29.26,7.5,-29323.296,2.2
2009-03-07,0.0,-29.36,9.4,-30612.384,2.6
2009-03-08,0.0,-29.3,9.3,-28054.08,2.8
2009-03-09,0.5,-29.22,9.7,-27016.416,2.5
2009-03-10,0.0,-29.24,7.3,-27849.312,2.3
2009-03-11,2.7,-29.22,9.4,-29914.272,2.2
2009-03-12,0.0,-29.28,8.0,-31067.712,2.8
2009-03-13,0.0,-29.23,8.1,-30997.728,2.5
2009-03-14,0.0,-29.2,10.3,-30297.024,2.5
2009-03-15,0.0,-29.07,11.5,-25712.64,2.5
2009-03-16,0.0,-29.16,12.2,-30144.96,2.4
2009-03-17,0.0,-29.15,10.1,-30499.2,2.4
2009-03-18,0.0,-29.12,10.8,-31408.128,2.4
2009-03-19,2.5,-28.98,7.9,-28215.648,2.4
2009-03-20,0.9,-28.95,4.7,-26127.36,2.4
2009-03-21,0.0,-28.89,2.6,-26831.52,2.5
2009-03-22,0.0,-28.85,5.9,-26683.776,2.6
2009-03-23,0.0,-28.8,7.4,-28810.944,2.6
2009-03-24,0.0,-28.69,8.8,-25915.68,2.7
2009-03-25,0.0,-28.75,8.0,-28555.2,2.7
2009-03-26,0.0,-28.77,9.6,-28340.928,2.5
2009-03-27,0.0,-28.75,9.1,-29128.896,2.5
2009-03-28,0.8,-28.7,10.9,-28799.712,2.4
2009-03-29,0.0,-28.5,14.9,-24510.816,2.5
2009-03-30,0.2,-28.58,16.7,-28012.608,2.7
2009-03-31,7.7,-28.58,13.3,-27930.528,2.6
2009-04-01,0.0,-28.52,13.6,-27028.512,2.6
2009-04-02,0.0,-28.61,13.0,-29776.896,2.7
2009-04-03,0.4,-28.6,12.9,-28683.072,2.6
2009-04-04,0.6,-28.59,12.6,-29952.288,2.6
2009-04-05,0.0,-28.52,13.6,-27659.232,2.6
2009-04-06,0.0,-28.47,14.9,-27998.784,2.5
2009-04-07,0.0,-28.43,14.1,-28618.272,2.5
2009-04-08,0.0,-28.47,14.5,-30295.296,2.5
2009-04-09,0.2,-28.46,14.3,-30932.928,2.4
2009-04-10,0.0,-28.41,14.3,-29541.888,2.4
2009-04-11,0.0,-28.33,14.4,-28015.2,2.4
2009-04-12,0.0,-28.26,14.9,-24519.456,2.4
2009-04-13,0.0,-27.89,15.5,-21733.92,2.4
2009-04-14,0.0,-28.08,14.9,-26240.544,2.3
2009-04-15,0.0,-28.29,15.0,-30187.296,2.3
2009-04-16,0.0,-28.26,14.7,-29819.232,2.3
2009-04-17,0.0,-28.21,14.7,-29836.512,2.3
2009-04-18,0.1,-28.27,12.6,-31252.608,2.3
2009-04-19,6.9,-28.08,12.4,-24743.232,2.3
2009-04-20,1.1,-28.06,12.4,-25403.328,2.4
2009-04-21,0.0,-28.07,14.0,-27472.608,2.3
2009-04-22,0.0,-28.03,15.0,-26897.184,2.3
2009-04-23,0.0,-28.1,13.6,-30822.336,2.3
2009-04-24,0.0,-28.12,12.7,-30300.48,2.3
2009-04-25,0.0,-28.1,15.6,-30324.672,2.3
2009-04-26,0.0,-28.02,14.3,-26855.712,2.3
2009-04-27,0.0,-27.91,15.1,-27971.136,2.3
2009-04-28,4.1,-27.91,12.6,-27294.624,2.3
2009-04-29,0.0,-27.94,11.4,-28594.944,2.4
2009-04-30,2.9,-27.86,10.6,-26257.824,2.5
2009-05-01,0.0,-27.89,14.3,-27604.8,2.3
2009-05-02,0.0,-27.93,15.9,-29345.76,2.3
2009-05-03,0.0,-27.82,14.0,-26222.4,2.3
2009-05-04,0.0,-27.85,15.3,-29250.72,2.3
2009-05-05,0.0,-27.88,16.0,-29217.888,2.2
2009-05-06,0.0,-27.92,15.6,-30221.856,2.2
2009-05-07,0.0,-27.98,17.8,-32306.688,2.2
2009-05-08,0.0,-27.94,18.2,-30468.096,2.1
2009-05-09,0.0,-28.01,18.6,-32845.824,2.1
2009-05-10,0.0,-27.98,18.6,-31584.384,2.1
2009-05-11,0.0,-27.95,19.3,-30571.776,2.1
2009-05-12,0.0,-28.03,19.4,-33529.248,2.1
2009-05-13,0.0,-28.05,20.5,-33517.152,2.1
2009-05-14,0.0,-28.02,19.8,-33538.752,2.1
2009-05-15,0.0,-27.98,18.6,-32187.456,2.1
2009-05-16,0.0,-27.99,20.8,-32825.952,2.1
2009-05-17,0.0,-28.01,21.9,-32625.504,2.1
2009-05-18,0.0,-28.07,22.7,-34062.336,2.1
2009-05-19,0.0,-28.12,22.5,-35875.008,2.1
2009-05-20,0.0,-28.16,22.0,-36088.416,2.1
2009-05-21,0.0,-28.2,23.1,-34791.552,2.0
2009-05-22,0.0,-28.19,24.1,-34419.168,2.1
2009-05-23,0.0,-28.26,23.7,-36648.288,2.0
2009-05-24,0.0,-28.21,24.8,-34067.52,2.0
2009-05-25,0.0,-28.25,26.0,-36078.048,2.0
2009-05-26,0.0,-28.28,25.6,-37336.032,2.0
2009-05-27,0.0,-28.35,22.5,-36837.504,2.1
2009-05-28,0.0,-28.03,19.7,-27638.496,2.0
2009-05-29,0.0,-28.12,19.2,-31344.192,2.0
2009-05-30,0.3,-28.01,17.7,-28662.336,2.0
2009-05-31,28.3,-27.94,15.9,-26092.8,2.1
2009-06-01,0.0,-27.71,15.2,-25255.584,2.1
2009-06-02,0.0,-27.95,16.6,-31354.56,2.1
2009-06-03,0.0,-27.99,19.1,-33581.088,2.1
2009-06-04,0.0,-28.0,20.5,-33457.536,2.1
2009-06-05,0.0,-28.04,21.6,-33308.928,2.1
2009-06-06,0.0,-27.97,22.5,-31509.216,2.1
2009-06-07,0.0,-27.89,19.7,-27584.928,2.1
2009-06-08,0.0,-27.95,20.2,-32270.4,2.1
2009-06-09,0.0,-28.09,20.4,-35788.608,2.1
2009-06-10,0.0,-28.13,21.1,-34417.44,2.1
2009-06-11,0.0,-28.19,21.7,-34823.52,2.1
2009-06-12,0.0,-28.24,23.0,-35604.576,2.0
2009-06-13,0.0,-28.33,25.0,-35769.6,2.0
2009-06-14,0.0,-28.39,25.7,-34889.184,2.0
2009-06-15,0.0,-28.38,25.7,-32884.704,2.0
2009-06-16,0.0,-28.45,25.3,-35172.576,2.0
2009-06-17,0.0,-28.47,24.0,-34560.0,2.0
2009-06-18,0.0,-28.43,24.6,-34406.208,2.0
2009-06-19,0.0,-28.42,25.6,-34634.304,2.0
2009-06-20,0.3,-28.42,22.1,-34755.264,2.0
2009-06-21,0.0,-28.04,19.1,-27006.912,2.0
2009-06-22,0.0,-28.29,16.9,-31282.848,2.0
2009-06-23,0.0,-28.3,16.1,-29637.792,2.0
2009-06-24,0.0,-28.25,18.6,-29886.624,2.0
2009-06-25,0.0,-28.36,21.0,-30101.76,2.0
2009-06-26,0.0,-28.37,20.0,-30630.528,2.1
2009-06-27,0.0,-28.09,18.3,-26386.56,2.1
2009-06-28,0.0,-27.75,20.9,-21718.368,2.1
2009-06-29,0.0,-28.01,22.4,-25818.912,2.1
2009-06-30,0.0,-28.12,23.2,-26946.432,2.1
2009-07-01,0.0,-28.21,23.4,-30447.36,2.1
2009-07-02,0.0,-28.18,21.9,-29782.08,2.1
2009-07-03,0.0,-27.96,23.4,-27918.432,2.1
2009-07-04,0.0,-27.99,23.8,-28571.616,2.1
2009-07-05,0.5,-27.82,22.5,-27768.096,2.1
2009-07-06,0.0,-27.69,23.9,-29214.432,2.1
2009-07-07,0.0,-28.0,25.6,-34172.064,2.1
2009-07-08,0.0,-28.08,25.0,-35798.112,2.2
2009-07-09,0.0,-27.81,23.1,-27018.144,2.4
2009-07-10,0.0,-28.06,22.8,-31210.272,2.4
2009-07-11,0.0,-28.11,21.3,-30891.456,2.3
2009-07-12,0.0,-28.11,22.8,-30033.504,2.2
2009-07-13,0.0,-28.19,25.2,-32832.0,2.0
2009-07-14,0.0,-28.37,27.1,-35405.856,2.0
2009-07-15,0.0,-28.44,27.3,-34732.8,2.0
2009-07-16,0.0,-28.51,28.2,-36070.272,2.0
2009-07-17,0.0,-28.54,28.3,-36928.224,2.0
2009-07-18,1.3,-28.44,23.3,-33789.312,2.0
2009-07-19,0.0,-28.22,23.0,-26523.936,2.0
2009-07-20,0.0,-28.32,24.0,-30224.448,2.0
2009-07-21,0.0,-28.56,24.1,-33954.336,2.0
2009-07-22,0.0,-28.57,26.7,-32545.152,2.0
2009-07-23,0.0,-28.72,28.4,-35135.424,2.0
2009-07-24,0.0,-28.84,31.1,-37614.24,2.0
2009-07-25,0.0,-28.92,27.7,-35068.032,2.0
2009-07-26,0.0,-28.76,26.1,-28933.632,2.0
2009-07-27,0.0,-28.77,26.5,-29835.648,1.9
2009-07-28,0.0,-28.9,27.4,-34833.888,1.9
2009-07-29,0.0,-29.01,26.9,-33927.552,1.9
2009-07-30,0.0,-28.97,28.1,-31152.384,1.9
2009-07-31,0.0,-29.07,28.3,-32915.808,2.0
2009-08-01,0.0,-29.12,28.0,-33610.464,2.0
2009-08-02,0.0,-29.01,27.2,-30353.184,2.0
2009-08-03,3.4,-28.88,21.6,-27946.944,2.0
2009-08-04,43.7,-28.3,21.0,-23658.048,2.1
2009-08-05,0.0,-28.54,22.7,-27252.288,2.0
2009-08-06,0.0,-28.6,23.9,-26917.92,2.1
2009-08-07,0.0,-28.66,24.9,-29763.072,2.1
2009-08-08,0.0,-28.71,25.2,-29871.072,2.0
2009-08-09,0.1,-28.48,23.9,-25907.04,2.0
2009-08-10,0.0,-28.39,23.9,-27028.512,2.0
2009-08-11,0.0,-28.31,25.1,-26040.096,2.0
2009-08-12,0.0,-28.4,25.6,-28872.288,2.1
2009-08-13,0.0,-28.6,25.2,-30657.312,2.2
2009-08-14,0.0,-28.63,25.9,-31202.496,2.1
2009-08-15,0.0,-28.47,27.0,-28127.52,2.0
2009-08-16,0.0,-28.51,27.7,-29150.496,2.1
2009-08-17,0.0,-28.64,25.9,-31790.016,2.2
2009-08-18,0.0,-28.77,26.8,-31699.296,2.2
2009-08-19,0.0,-28.88,27.3,-31979.232,2.1
2009-08-20,0.0,-29.04,27.6,-34706.88,2.0
2009-08-21,0.0,-29.15,28.1,-35823.168,2.0
2009-08-22,0.0,-29.19,28.0,-37257.408,2.0
2009-08-23,0.0,-29.26,26.5,-38312.352,2.0
2009-08-24,0.0,-29.29,26.2,-37975.392,2.0
2009-08-25,0.0,-29.19,26.1,-38477.376,2.0
2009-08-26,0.0,-29.19,27.5,-35919.936,2.0
2009-08-27,0.0,-29.17,26.8,-35485.344,2.0
2009-08-28,0.0,-29.08,27.1,-32427.648,2.0
2009-08-29,0.0,-29.02,26.6,-33238.944,2.0
2009-08-30,0.0,-28.88,24.9,-30521.664,2.0
2009-08-31,0.0,-29.04,25.0,-34213.536,2.0
2009-09-01,0.0,-29.18,26.1,-36434.88,2.0
2009-09-02,0.0,-29.2,26.5,-36428.832,2.0
2009-09-03,0.0,-29.15,26.2,-35246.016,2.0
2009-09-04,0.0,-29.17,26.9,-34475.328,2.0
2009-09-05,0.0,-29.18,25.0,-34810.56,2.0
2009-09-06,0.0,-29.11,21.5,-30799.008,2.0
2009-09-07,0.0,-29.05,19.7,-31395.168,2.0
2009-09-08,0.0,-29.2,19.9,-33964.704,2.0
2009-09-09,0.0,-29.19,20.2,-33697.728,2.0
2009-09-10,0.0,-29.22,18.9,-34410.528,2.0
2009-09-11,0.0,-29.19,20.5,-33999.264,2.0
2009-09-12,0.0,-29.2,20.6,-34445.952,2.0
2009-09-13,0.0,-29.0,19.7,-30416.256,2.0
2009-09-14,0.0,-29.13,18.7,-32690.304,2.0
2009-09-15,0.0,-29.07,18.8,-34436.448,2.0
2009-09-16,0.0,-28.86,20.2,-30934.656,2.0
2009-09-17,0.0,-28.81,19.9,-31421.952,2.0
2009-09-18,0.0,-28.83,19.5,-31551.552,2.0
2009-09-19,0.4,-29.02,20.0,-34141.824,2.0
2009-09-20,13.2,-28.98,18.5,-32908.896,2.1
2009-09-21,0.0,-28.73,19.6,-29136.672,2.0
2009-09-22,0.0,-28.9,21.6,-31655.232,2.0
2009-09-23,0.0,-28.97,19.8,-32765.472,2.0
2009-09-24,0.0,-28.99,20.0,-34190.208,2.0
2009-09-25,0.0,-29.27,21.5,-37068.192,2.0
2009-09-26,0.0,-29.34,21.5,-36998.208,2.0
2009-09-27,0.0,-29.3,20.7,-35356.608,2.0
2009-09-28,0.0,-29.32,20.4,-35594.208,2.1
2009-09-29,0.0,-29.34,19.9,-35855.136,1.9
2009-09-30,0.0,-29.36,19.5,-36109.152,1.9
2009-10-01,0.0,-29.33,19.0,-36187.776,1.9
2009-10-02,0.0,-29.35,18.7,-36263.808,1.9
2009-10-03,0.0,-29.44,18.0,-36478.944,1.9
2009-10-04,0.0,-29.37,17.1,-35506.944,1.9
2009-10-05,0.0,-29.24,19.5,-35087.04,1.9
2009-10-06,0.0,-29.46,19.2,-36681.984,1.9
2009-10-07,0.0,-29.48,19.3,-37385.28,1.9
2009-10-08,0.0,-29.51,19.6,-37374.912,1.9
2009-10-09,0.0,-29.52,20.6,-38091.168,1.9
2009-10-10,0.0,-29.43,18.5,-34591.968,2.0
2009-10-11,0.1,-29.28,18.3,-33645.024,2.0
2009-10-12,10.6,-29.31,13.8,-33960.384,2.0
2009-10-13,0.0,-29.32,10.7,-32513.184,2.0
2009-10-14,0.0,-29.28,8.8,-31650.048,2.0
2009-10-15,0.0,-29.31,7.4,-33220.8,1.9
2009-10-16,0.0,-29.4,9.0,-35017.056,1.9
2009-10-17,0.0,-29.42,8.7,-36504.864,1.9
2009-10-18,0.0,-29.38,10.2,-34008.768,1.9
2009-10-19,0.0,-29.37,8.7,-34739.712,1.9
2009-10-20,0.0,-29.46,7.4,-35222.688,1.9
2009-10-21,0.0,-29.37,12.5,-33907.68,1.9
2009-10-22,0.0,-29.24,15.6,-33602.688,2.0
2009-10-23,0.0,-29.36,13.3,-33815.232,2.0
2009-10-24,0.0,-29.56,13.7,-35671.968,2.0
2009-10-25,0.0,-29.7,14.3,-37029.312,2.0
2009-10-26,0.0,-29.61,13.0,-35036.064,2.0
2009-10-27,0.0,-29.69,13.0,-36735.552,2.0
2009-10-28,0.0,-29.68,12.9,-36198.144,2.0
2009-10-29,0.0,-29.72,10.5,-36804.672,1.9
2009-10-30,0.0,-29.76,11.3,-37310.112,2.0
2009-10-31,0.0,-29.79,9.8,-37404.288,2.0
2009-11-01,0.0,-29.66,7.5,-34892.64,2.0
2009-11-02,0.0,-29.6,7.0,-33908.544,2.0
2009-11-03,0.0,-29.59,10.0,-35786.016,2.0
2009-11-04,7.1,-29.68,8.9,-37169.28,2.0
2009-11-05,0.1,-29.76,11.2,-37692.0,2.0
2009-11-06,0.0,-29.69,9.9,-35909.568,2.0
2009-11-07,0.0,-29.75,9.7,-37268.64,2.0
2009-11-08,10.8,-29.7,8.7,-36380.448,2.0
2009-11-09,4.4,-29.61,9.5,-34445.088,2.1
2009-11-10,0.0,-29.62,8.9,-33810.048,2.1
2009-11-11,0.0,-29.71,7.7,-35766.144,2.0
2009-11-12,0.0,-29.74,5.9,-34731.072,2.0
2009-11-13,0.0,-29.67,6.9,-32858.784,2.0
2009-11-14,0.0,-29.65,10.4,-33280.416,2.0
2009-11-15,0.0,-29.57,13.0,-31205.952,2.0
2009-11-16,0.0,-29.59,13.5,-32047.488,2.0
2009-11-17,0.0,-29.61,12.0,-32050.944,2.0
2009-11-18,0.0,-29.7,9.8,-33141.312,2.0
2009-11-19,0.0,-29.73,9.0,-33681.312,2.0
2009-11-20,0.0,-29.83,9.0,-34930.656,2.0
2009-11-21,0.0,-29.84,8.2,-34130.592,2.0
2009-11-22,0.0,-29.81,6.5,-32762.88,2.0
2009-11-23,0.0,-29.88,11.9,-32515.776,2.0
2009-11-24,0.0,-29.9,11.4,-33146.496,2.0
2009-11-25,0.1,-29.87,7.0,-33603.552,2.0
2009-11-26,0.0,-29.85,10.4,-33071.328,1.9
2009-11-27,0.0,-29.84,10.9,-33219.072,2.0
2009-11-28,12.8,-29.87,11.1,-33843.744,2.1
2009-11-29,0.0,-29.84,9.5,-33837.696,2.2
2009-11-30,7.5,-29.83,13.9,-33449.76,2.1
2009-12-01,0.0,-29.9,8.9,-33773.76,2.3
2009-12-02,0.0,-29.95,4.4,-33702.048,2.2
2009-12-03,0.1,-29.97,2.4,-32612.544,2.2
2009-12-04,14.3,-29.84,5.5,-32899.392,2.2
2009-12-05,0.1,-29.93,6.1,-33506.784,2.3
2009-12-06,0.0,-29.93,4.0,-31852.224,2.3
2009-12-07,0.0,-29.88,8.2,-32782.752,2.2
2009-12-08,0.0,-29.78,11.3,-30176.064,2.2
2009-12-09,0.0,-29.88,7.9,-32862.24,2.2
2009-12-10,0.0,-29.95,7.2,-34104.672,2.2
2009-12-11,0.0,-30.05,4.6,-36398.592,2.2
2009-12-12,0.0,-30.03,5.0,-35502.624,2.2
2009-12-13,2.7,-30.09,4.8,-36114.336,2.2
2009-12-14,0.0,-30.01,5.8,-34744.896,2.3
2009-12-15,0.0,-29.98,4.6,-33023.808,2.3
2009-12-16,0.0,-29.91,3.5,-31383.072,2.3
2009-12-17,0.0,-29.91,2.6,-32595.264,2.3
2009-12-18,0.0,-29.99,2.2,-33486.912,2.3
2009-12-19,11.9,-29.98,0.8,-33278.688,2.3
2009-12-20,0.0,-30.08,-2.7,-33933.6,2.3
2009-12-21,0.0,-30.13,1.2,-34980.768,2.3
2009-12-22,0.0,-30.1,11.5,-35103.456,2.6
2009-12-23,0.0,-30.21,13.8,-38555.136,2.8
2009-12-24,0.0,-30.15,14.9,-35526.816,2.7
2009-12-25,7.7,-29.72,14.2,-26374.464,2.8
2009-12-26,0.0,-29.83,7.2,-27611.712,2.8
2009-12-27,0.0,-29.84,6.3,-28548.288,2.8
2009-12-28,5.1,-29.88,6.9,-30116.448,2.7
2009-12-29,0.0,-29.76,10.6,-26333.856,2.7
2009-12-30,0.8,-29.7,14.3,-26269.92,2.7
2009-12-31,3.0,-29.82,14.7,-30064.608,2.6
2010-01-01,26.5,-29.78,8.3,-25730.784,3.1
2010-01-02,0.0,-29.84,8.0,-29223.072,3.3
2010-01-03,0.0,-29.94,3.2,-29715.552,2.9
2010-01-04,0.0,-29.77,2.1,-27174.528,2.7
2010-01-05,32.6,-29.58,4.7,-25946.784,3.1
2010-01-06,0.0,-29.68,8.8,-27055.296,3.7
2010-01-07,0.0,-29.64,7.9,-26687.232,3.7
2010-01-08,0.0,-29.59,7.9,-26373.6,3.8
2010-01-09,3.6,-29.66,7.5,-28149.12,3.4
2010-01-10,0.0,-29.69,5.4,-27006.912,3.1
2010-01-11,0.0,-29.62,3.4,-26182.656,2.9
2010-01-12,0.1,-29.65,0.8,-27181.44,2.8
2010-01-13,0.0,-29.56,3.2,-27298.944,2.7
2010-01-14,0.0,-29.53,3.8,-27240.192,2.6
2010-01-15,0.0,-29.54,5.2,-27903.744,2.6
2010-01-16,0.0,-29.55,4.7,-27692.928,2.6
2010-01-17,0.0,-29.51,1.7,-25844.832,2.5
2010-01-18,0.1,-29.4,4.5,-25982.208,2.5
2010-01-19,0.0,-29.37,2.3,-26390.016,2.5
2010-01-20,0.0,-29.39,1.2,-28549.152,2.4
2010-01-21,0.0,-29.44,2.6,-30546.72,2.4
2010-01-22,0.0,-29.47,1.5,-29787.264,2.4
2010-01-23,0.0,-29.46,2.8,-30443.04,2.4
2010-01-24,0.0,-29.37,1.0,-29510.784,2.4
2010-01-25,0.0,-29.34,4.1,-29325.888,2.4
2010-01-26,12.7,-29.22,3.7,-26953.344,2.4
2010-01-27,0.0,-29.21,4.1,-27984.96,2.5
2010-01-28,0.0,-28.96,0.3,-26308.8,2.4
2010-01-29,0.0,-29.09,1.1,-28707.264,2.4
2010-01-30,0.0,-29.09,6.2,-28721.952,2.4
2010-01-31,0.0,-29.13,3.3,-28084.32,2.6
2010-02-01,0.0,-29.19,0.3,-27634.176,2.5
2010-02-02,0.0,-29.14,0.0,-28485.216,2.5
2010-02-03,0.0,-29.14,3.7,-29073.6,2.5
2010-02-04,0.0,-29.1,6.6,-28097.28,2.4
2010-02-05,19.4,-28.97,5.3,-27845.856,2.5
2010-02-06,0.0,-29.01,4.3,-30117.312,2.9
2010-02-07,0.0,-28.66,4.8,-27258.336,2.8
2010-02-08,0.0,-28.99,2.9,-29261.088,2.7
2010-02-09,3.3,-28.95,2.7,-28789.344,2.6
2010-02-10,0.0,-28.84,4.0,-28385.856,2.7
2010-02-11,0.0,-28.87,3.2,-27807.84,2.7
2010-02-12,0.6,-28.89,1.9,-28737.504,2.7
2010-02-13,0.0,-29.04,2.4,-30690.144,2.6
2010-02-14,0.0,-28.88,3.9,-29611.872,2.6
2010-02-15,0.0,-28.83,6.5,-29280.096,2.6
2010-02-16,0.0,-28.76,6.4,-28899.072,2.6
2010-02-17,0.0,-28.74,8.7,-29039.04,2.5
2010-02-18,1.2,-28.65,12.0,-28455.84,2.7
2010-02-19,0.0,-28.7,11.0,-28434.24,2.9
2010-02-20,0.0,-28.68,8.3,-28166.4,3.1
2010-02-21,0.5,-28.67,7.7,-27768.96,3.2
2010-02-22,0.0,-28.61,7.9,-28289.952,3.0
2010-02-23,0.0,-28.52,12.3,-28180.224,3.2
2010-02-24,0.0,-28.59,10.5,-28575.072,3.3
2010-02-25,0.0,-28.39,10.3,-26650.944,3.1
2010-02-26,0.3,-28.39,12.1,-27958.176,3.0
2010-02-27,0.0,-28.49,10.2,-28399.68,2.9
2010-02-28,0.0,-28.2,12.9,-25144.992,2.8
2010-03-01,7.0,-28.16,12.7,-25276.32,2.7
2010-03-02,0.0,-28.39,10.4,-27832.896,2.8
2010-03-03,0.1,-28.25,8.3,-26872.128,2.7
2010-03-04,0.0,-28.24,8.2,-27307.584,2.7
2010-03-05,0.0,-28.27,5.2,-28559.52,2.7
2010-03-06,0.0,-28.31,4.0,-28823.904,2.6
2010-03-07,0.0,-28.19,3.5,-28828.224,2.6
2010-03-08,0.0,-28.11,3.7,-28755.648,2.6
2010-03-09,6.0,-27.96,3.3,-28407.456,2.6
2010-03-10,0.0,-28.08,4.8,-29382.048,2.7
2010-03-11,0.0,-28.06,3.5,-30672.864,2.7
2010-03-12,0.8,-27.95,6.4,-29093.472,2.7
2010-03-13,0.0,-28.0,6.3,-30240.864,2.7
2010-03-14,0.0,-27.95,6.2,-29772.576,2.7
2010-03-15,0.0,-27.88,7.6,-29472.768,2.6
2010-03-16,0.0,-27.92,7.1,-30235.68,2.6
2010-03-17,0.0,-27.88,7.9,-29597.184,2.6
2010-03-18,0.0,-27.85,8.5,-30076.704,2.6
2010-03-19,0.0,-27.8,9.6,-29795.04,2.5
2010-03-20,0.0,-27.74,11.0,-29649.888,2.5
2010-03-21,0.0,-27.46,11.5,-27330.048,2.5
2010-03-22,0.0,-27.62,11.9,-30145.824,2.5
2010-03-23,0.0,-27.61,13.3,-29899.584,2.5
2010-03-24,0.0,-27.59,13.0,-30392.928,2.5
2010-03-25,0.0,-27.45,13.0,-29750.976,2.4
2010-03-26,0.0,-27.35,13.9,-30524.256,2.4
2010-03-27,0.0,-27.31,12.2,-30421.44,2.4
2010-03-28,0.0,-26.98,12.7,-28461.024,2.4
2010-03-29,0.0,-27.12,12.4,-29742.336,2.4
2010-03-30,0.0,-27.07,13.6,-30382.56,2.4
2010-03-31,0.0,-27.14,13.1,-30345.408,2.4
2010-04-01,0.0,-27.12,10.9,-30392.064,2.3
2010-04-02,0.0,-27.07,11.3,-30416.256,2.3
2010-04-03,0.0,-27.08,10.8,-31186.08,2.3
2010-04-04,0.0,-26.91,7.6,-27911.52,2.4
2010-04-05,4.5,-26.78,9.0,-23087.808,2.7
2010-04-06,0.0,-26.63,9.8,-26806.464,2.6
2010-04-07,0.0,-26.87,12.1,-30120.768,2.5
2010-04-08,0.0,-26.71,12.0,-27752.544,2.5
2010-04-09,0.0,-26.86,12.7,-29311.2,2.4
2010-04-10,0.0,-26.88,13.6,-31201.632,2.4
